"global_id";"stop_id";"stop_name";"StationName";"Street";"Direction";"Pavilion";"OperatingOrgName";"geoData";"geodata_center";
"global_id";"Код остановки";"Наименование остановки";"Название остановки согласно указателю";"Наименование улицы, на которой находится остановка";"Направление";"Наличие павильона";"Балансодержатель остановки с павильоном";"geoData";"geodata_center";
"2583704923";"1453";"Неманский проезд";"";"";"";"";"";"{coordinates=[37.39372096, 55.81329713], type=Point}";"{coordinates=[37.39372096, 55.81329713], type=Point}";
"2583704924";"1455";"Неманский проезд";"";"";"";"";"";"{coordinates=[37.39305008, 55.81404559], type=Point}";"{coordinates=[37.39305008, 55.81404559], type=Point}";
"2583704925";"1456";"4-й микрорайон Строгина";"";"";"";"";"";"{coordinates=[37.39376769, 55.8162233], type=Point}";"{coordinates=[37.39376769, 55.8162233], type=Point}";
"2583704926";"6465";"Яузские Ворота";"";"";"";"";"";"{coordinates=[37.64408527, 55.7490039], type=Point}";"{coordinates=[37.64408527, 55.7490039], type=Point}";
"2583704927";"1440";"Улица Фабрициуса, 26";"";"";"";"";"";"{coordinates=[37.44102414, 55.84346881], type=Point}";"{coordinates=[37.44102414, 55.84346881], type=Point}";
"2583704928";"1640";"Улица Маршала Тухачевского";"";"";"";"";"";"{coordinates=[37.48039102, 55.78197346], type=Point}";"{coordinates=[37.48039102, 55.78197346], type=Point}";
"2583704929";"1441";"Сходненская улица";"";"";"";"";"";"{coordinates=[37.43722359, 55.84369808], type=Point}";"{coordinates=[37.43722359, 55.84369808], type=Point}";
"2583704930";"1641";"Улица Народного Ополчения, 27";"";"";"";"";"";"{coordinates=[37.47921502, 55.77971985], type=Point}";"{coordinates=[37.47921502, 55.77971985], type=Point}";
"2583704931";"1438";"Муниципалитет Южное Тушино";"";"";"";"";"";"{coordinates=[37.43389981, 55.84371267], type=Point}";"{coordinates=[37.43389981, 55.84371267], type=Point}";
"2583704932";"1642";"Терехово";"";"";"";"";"";"{coordinates=[37.45056497, 55.75068985], type=Point}";"{coordinates=[37.45056497, 55.75068985], type=Point}";
"2583704933";"1643";"Крылатский мост";"";"";"";"";"";"{coordinates=[37.43381017, 55.7499901], type=Point}";"{coordinates=[37.43381017, 55.7499901], type=Point}";
"2583704934";"1747";"Глазная больница";"";"";"";"";"";"{coordinates=[37.59944816, 55.76779709], type=Point}";"{coordinates=[37.59944816, 55.76779709], type=Point}";
"2583704935";"1647";"Улица Народного Ополчения, 54";"";"";"";"";"";"{coordinates=[37.49865196, 55.79611971], type=Point}";"{coordinates=[37.49865196, 55.79611971], type=Point}";
"2583704936";"1748";"Пушкинская площадь";"";"";"";"";"";"{coordinates=[37.60356197, 55.76549484], type=Point}";"{coordinates=[37.60356197, 55.76549484], type=Point}";
"2583704937";"1648";"Улица Расплетина";"";"";"";"";"";"{coordinates=[37.47808463, 55.78911035], type=Point}";"{coordinates=[37.47808463, 55.78911035], type=Point}";
"2583704938";"1749";"Тверская площадь";"";"";"";"";"";"{coordinates=[37.60838114, 55.76216247], type=Point}";"{coordinates=[37.60838114, 55.76216247], type=Point}";
